iter	Logloss
0	0.6807438639
1	0.6687546729
2	0.6570295373
3	0.648255623
4	0.6391111873
5	0.6312689761
6	0.6253706466
7	0.6169035637
8	0.6108533197
9	0.6041026039
10	0.5993005733
11	0.5947064958
12	0.5907339053
13	0.5866253603
14	0.5832414026
15	0.5752228789
16	0.5723645308
17	0.5679092443
18	0.5653694406
19	0.5625295731
20	0.5607829897
21	0.5586263739
22	0.5566320143
23	0.5538539558
24	0.5527813938
25	0.5512446412
26	0.5500178944
27	0.548658519
28	0.5474502718
29	0.5463021246
30	0.5448432522
31	0.5438593853
32	0.5419768226
33	0.5412181325
34	0.5398583525
35	0.5386720933
36	0.5372660934
37	0.5358592314
38	0.5352185805
39	0.5347425468
40	0.5341393325
41	0.5332694253
42	0.5317634401
43	0.5307129432
44	0.5297458806
45	0.5278725071
46	0.5267360601
47	0.5259513609
48	0.5250447539
49	0.5237962266
50	0.5234642407
51	0.5230959591
52	0.522655625
53	0.5219666057
54	0.5215096712
55	0.5210692318
56	0.5200504912
57	0.5188269179
58	0.5144809124
59	0.5133726428
60	0.5132011647
61	0.5108483322
62	0.5105989127
63	0.5105724948
64	0.5088850368
65	0.5077691985
66	0.5072689688
67	0.5067924949
68	0.5057817118
69	0.5054362711
70	0.5052378503
71	0.5050383214
72	0.5027446845
73	0.5016189175
74	0.5014792378
75	0.5008428226
76	0.5003498056
77	0.50005938
78	0.4995581529
79	0.4993381596
80	0.4987779677
81	0.4977474417
82	0.4976441206
83	0.4974178454
84	0.4969255498
85	0.4965527573
86	0.4956160518
87	0.4950737622
88	0.4945652877
89	0.4913856258
90	0.4911721647
91	0.4909420091
92	0.4906726874
93	0.4898594764
94	0.4893902038
95	0.488947018
96	0.4880653219
97	0.4877723737
98	0.4875782756
99	0.4872670712
100	0.4870773701
101	0.4867671758
102	0.4859454735
103	0.485559921
104	0.4847741282
105	0.4847242649
106	0.4841594494
107	0.4838624483
108	0.4835215412
109	0.4831458536
110	0.4828347466
111	0.4824936304
112	0.4819490013
113	0.4818284941
114	0.4815346374
115	0.4813256497
116	0.4811074613
117	0.4803483913
118	0.4799321679
119	0.4798464887
120	0.4792753036
121	0.4789189968
122	0.4778501728
123	0.4760100036
124	0.4752807433
125	0.4749661694
126	0.4743320899
127	0.4739637978
128	0.4737899052
129	0.4730958251
130	0.4721784037
131	0.4718796425
132	0.471380084
133	0.4705205558
134	0.4681427236
135	0.4680527001
136	0.4680173895
137	0.4676361827
138	0.4674721414
139	0.466684336
140	0.4659535452
141	0.4657830199
142	0.4651366849
143	0.4648243427
144	0.4646580863
145	0.4646061345
146	0.4634537967
147	0.4632981905
148	0.463134058
149	0.4625369593
150	0.4624804235
151	0.4616427225
152	0.4614758899
153	0.461267854
154	0.4607849386
155	0.4604043645
156	0.4603279121
157	0.4599751609
158	0.4579334351
159	0.4576840969
160	0.4575225276
161	0.4572268664
162	0.4570437228
163	0.4564255764
164	0.4560252754
165	0.4542209545
166	0.4540806558
167	0.4539323117
168	0.4532398624
169	0.4529534632
170	0.4523936682
171	0.4518719999
172	0.4517200668
173	0.4513101389
174	0.4512042816
175	0.4509588758
176	0.4508883401
177	0.4505576597
178	0.4488764185
179	0.448539145
180	0.4482694222
181	0.4467866209
182	0.4463958308
183	0.4463034946
184	0.4448353748
185	0.444614458
186	0.4429443797
187	0.4418334069
188	0.4399137527
189	0.4391346032
190	0.4388251583
191	0.4385459074
192	0.4382769282
193	0.4382017851
194	0.4372869337
195	0.4368118634
196	0.4366787659
197	0.4360018808
198	0.4355947375
199	0.4354349837
200	0.4342374395
201	0.4330927728
202	0.4324876236
203	0.4323121709
204	0.4320201008
205	0.4312934648
206	0.4298336522
207	0.4295626695
208	0.4291880803
209	0.4288148747
210	0.4286380347
211	0.4281121667
212	0.4279229774
213	0.4277018597
214	0.4272556472
215	0.4268277105
216	0.4261733826
217	0.4255949246
218	0.4246696927
219	0.4242061199
220	0.423893299
221	0.4235748489
222	0.4232857935
223	0.4228710336
224	0.4223562355
225	0.4218824024
226	0.4218058893
227	0.4216350733
228	0.4214595002
229	0.4208524465
230	0.4206841616
231	0.4202283767
232	0.4194345986
233	0.4191442628
234	0.4189802632
235	0.4188485785
236	0.4185508185
237	0.4183804393
238	0.4182682113
239	0.4179604669
240	0.4176795534
241	0.4174164613
242	0.417225063
243	0.4170757794
244	0.4167605862
245	0.4165901567
246	0.4162296983
247	0.4154756196
248	0.4153460509
249	0.4150527056
250	0.4149636272
251	0.4142407417
252	0.4140883291
253	0.4139081964
254	0.4123220584
255	0.4120721521
256	0.411766367
257	0.4113778806
258	0.4112824416
259	0.4106582282
260	0.4105743729
261	0.4104945747
262	0.4102816688
263	0.4097952931
264	0.4097066933
265	0.4096586608
266	0.4096434102
267	0.4095711826
268	0.4083492406
269	0.4076595852
270	0.4064306708
271	0.4059894646
272	0.4057644652
273	0.4048620883
274	0.4034587241
275	0.403343191
276	0.4026422521
277	0.4013788298
278	0.4012699429
279	0.4011650718
280	0.4005550986
281	0.4003888027
282	0.4000758615
283	0.3992334856
284	0.397795301
285	0.3962045683
286	0.3951431753
287	0.3945455852
288	0.3937225932
289	0.3933314991
290	0.393248031
291	0.3931750557
292	0.3920815877
293	0.3919260252
294	0.391832198
295	0.3917833769
296	0.3916052457
297	0.3913483911
298	0.3905520806
299	0.3896873526
300	0.3896345591
301	0.3889851324
302	0.3889423113
303	0.3884142785
304	0.3881504083
305	0.3870878082
306	0.3863892212
307	0.386358092
308	0.3860741383
309	0.3859952417
310	0.3851483816
311	0.3850960443
312	0.3847142856
313	0.384566966
314	0.3844929363
315	0.3841575553
316	0.3832923197
317	0.3830833327
318	0.3819336157
319	0.3817337679
320	0.3817039856
321	0.3808200672
322	0.3806325201
323	0.3804892392
324	0.3804297255
325	0.3803821209
326	0.3799565647
327	0.3790925112
328	0.3784055647
329	0.3783845162
330	0.3782039674
331	0.3774301841
332	0.3766148227
333	0.376308421
334	0.3758059691
335	0.3756279633
336	0.3753779124
337	0.374636749
338	0.3734790322
339	0.3729899884
340	0.3722170482
341	0.3720220509
342	0.3716024049
343	0.3708065506
344	0.3697997537
345	0.3688692993
346	0.3687227005
347	0.368598821
348	0.3676942273
349	0.3671147657
350	0.366835683
351	0.3666244899
352	0.3659844245
353	0.3652090782
354	0.3644137317
355	0.3640414005
356	0.3638664151
357	0.3631367955
358	0.3630681147
359	0.3624803872
360	0.3614910615
361	0.3610152451
362	0.3604238602
363	0.3601817676
364	0.3598951296
365	0.3584942534
366	0.3581758526
367	0.3567859076
368	0.3558490541
